company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score,sector_exposure_id,Normalized_Stock_Price_Change,Exp_Pct_Chg
ANTERO RESOURCES Corp,2013,Associated Energy Costs,100,115,79,102,72,0,-35.7086302,217,0,-5.4377353,
ANTERO RESOURCES Corp,2013,Dividend/reinvestment balance for long-term growth,36,16,75,30,78,0,-35.7086302,46,1,-1.1526996,
ANTERO RESOURCES Corp,2013,GDP and Disposable Income,75,79,66,79,73,0,-35.7086302,158,2,-3.9592727,
ANTERO RESOURCES Corp,2013,Innovation,83,99,69,89,68,0,-35.7086302,188,3,-4.7110333,
ANTERO RESOURCES Corp,2013,Market Transition,71,72,60,75,67,0,-35.7086302,147,4,-3.6836271,
ANTERO RESOURCES Corp,2013,Professional Skills Development,36,34,77,66,79,0,-35.7086302,100,5,-2.5058688,
ANTERO RESOURCES Corp,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,105,100,114,100,0,-35.7086302,219,6,-5.4878526,
ANTERO RESOURCES Corp,2013,Regulated Carbon Price,70,73,79,71,80,0,-35.7086302,144,7,-3.6084511,
ANTERO RESOURCES Corp,2013,Wages and Benefits,42,54,94,82,80,0,-35.7086302,136,8,-3.4079815,
ANTERO RESOURCES Corp,2013,Well-being and health,28,22,50,48,56,0,-35.7086302,70,9,-1.7541082,
ANTERO RESOURCES Corp,2014,Associated Energy Costs,100,120,78,102,66,0,-46.4285714,222,0,-6.7721044,0.023041475
ANTERO RESOURCES Corp,2014,Dividend/reinvestment balance for long-term growth,32,20,68,37,77,0,-46.4285714,57,1,-1.7387836,0.239130435
ANTERO RESOURCES Corp,2014,GDP and Disposable Income,77,91,68,88,68,0,-46.4285714,179,2,-5.4603905,0.132911392
ANTERO RESOURCES Corp,2014,Innovation,85,111,71,88,65,0,-46.4285714,199,3,-6.07049,0.058510638
ANTERO RESOURCES Corp,2014,Market Transition,74,86,62,77,61,0,-46.4285714,163,4,-4.9723109,0.108843537
ANTERO RESOURCES Corp,2014,Professional Skills Development,38,36,84,82,79,0,-46.4285714,118,5,-3.599587,0.18
ANTERO RESOURCES Corp,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,117,100,116,96,0,-46.4285714,233,6,-7.1076591,0.063926941
ANTERO RESOURCES Corp,2014,Regulated Carbon Price,67,75,79,74,79,0,-46.4285714,149,7,-4.5452412,0.034722222
ANTERO RESOURCES Corp,2014,Wages and Benefits,42,49,96,84,100,0,-46.4285714,133,8,-4.0571616,-0.022058824
ANTERO RESOURCES Corp,2014,Well-being and health,29,21,52,48,43,0,-46.4285714,69,9,-2.1048433,-0.014285714
ANTERO RESOURCES Corp,2016,Associated Energy Costs,97,125,74,100,77,84,-19.464211,309,0,-2.611568,0.391891892
ANTERO RESOURCES Corp,2016,Dividend/reinvestment balance for long-term growth,30,19,54,31,66,0,-19.464211,50,1,-0.4225838,-0.122807018
ANTERO RESOURCES Corp,2016,GDP and Disposable Income,77,100,65,94,76,89,-19.464211,283,2,-2.3918245,0.581005587
ANTERO RESOURCES Corp,2016,Innovation,85,121,66,91,80,81,-19.464211,293,3,-2.4763412,0.472361809
