company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score,sector_exposure_id,Normalized_Stock_Price_Change
ANTERO RESOURCES Corp,2013,Associated Energy Costs,100,115,79,102,72,0,-0.357086302,217,0,-0.054377353
ANTERO RESOURCES Corp,2013,Dividend/reinvestment balance for long-term growth,36,16,75,30,78,0,-0.357086302,46,1,-0.011526996
ANTERO RESOURCES Corp,2013,GDP and Disposable Income,75,79,66,79,73,0,-0.357086302,158,2,-0.039592727
ANTERO RESOURCES Corp,2013,Innovation,83,99,69,89,68,0,-0.357086302,188,3,-0.047110333
ANTERO RESOURCES Corp,2013,Market Transition,71,72,60,75,67,0,-0.357086302,147,4,-0.036836271
ANTERO RESOURCES Corp,2013,Professional Skills Development,36,34,77,66,79,0,-0.357086302,100,5,-0.025058688
ANTERO RESOURCES Corp,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,105,100,114,100,0,-0.357086302,219,6,-0.054878526
ANTERO RESOURCES Corp,2013,Regulated Carbon Price,70,73,79,71,80,0,-0.357086302,144,7,-0.036084511
ANTERO RESOURCES Corp,2013,Wages and Benefits,42,54,94,82,80,0,-0.357086302,136,8,-0.034079815
ANTERO RESOURCES Corp,2013,Well-being and health,28,22,50,48,56,0,-0.357086302,70,9,-0.017541082
Callon Petroleum Co,2013,Associated Energy Costs,100,104,79,67,72,74,1.262162162,245,0,0.175798596
Callon Petroleum Co,2013,Dividend/reinvestment balance for long-term growth,36,15,75,38,78,0,1.262162162,53,1,0.0380299
Callon Petroleum Co,2013,GDP and Disposable Income,75,64,66,54,73,74,1.262162162,192,2,0.137768695
Callon Petroleum Co,2013,Innovation,83,77,69,60,68,71,1.262162162,208,3,0.14924942
Callon Petroleum Co,2013,Market Transition,71,87,60,58,67,70,1.262162162,215,4,0.154272237
Callon Petroleum Co,2013,Professional Skills Development,36,37,77,64,79,68,1.262162162,169,5,0.121265154
