company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score,sector_exposure_id,Normalized_Stock_Price_Change
ANTERO RESOURCES Corp,2013,Associated Energy Costs,100,115,79,102,72,0,-0.357086302,217,0,-0.054377353
ANTERO RESOURCES Corp,2013,Dividend/reinvestment balance for long-term growth,36,16,75,30,78,0,-0.357086302,46,0.01,-0.011526996
ANTERO RESOURCES Corp,2013,GDP and Disposable Income,75,79,66,79,73,0,-0.357086302,158,0.02,-0.039592727
ANTERO RESOURCES Corp,2013,Innovation,83,99,69,89,68,0,-0.357086302,188,0.03,-0.047110333
ANTERO RESOURCES Corp,2013,Market Transition,71,72,60,75,67,0,-0.357086302,147,0.04,-0.036836271
ANTERO RESOURCES Corp,2013,Professional Skills Development,36,34,77,66,79,0,-0.357086302,100,0.05,-0.025058688
ANTERO RESOURCES Corp,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,105,100,114,100,0,-0.357086302,219,0.06,-0.054878526
ANTERO RESOURCES Corp,2013,Regulated Carbon Price,70,73,79,71,80,0,-0.357086302,144,0.07,-0.036084511
ANTERO RESOURCES Corp,2013,Wages and Benefits,42,54,94,82,80,0,-0.357086302,136,0.08,-0.034079815
ANTERO RESOURCES Corp,2013,Well-being and health,28,22,50,48,56,0,-0.357086302,70,0.09,-0.017541082
ANTERO RESOURCES Corp,2014,Associated Energy Costs,100,120,78,102,66,0,-0.464285714,222,0,-0.067721044
ANTERO RESOURCES Corp,2014,Dividend/reinvestment balance for long-term growth,32,20,68,37,77,0,-0.464285714,57,0.01,-0.017387836
ANTERO RESOURCES Corp,2014,GDP and Disposable Income,77,91,68,88,68,0,-0.464285714,179,0.02,-0.054603905
ANTERO RESOURCES Corp,2014,Innovation,85,111,71,88,65,0,-0.464285714,199,0.03,-0.0607049
ANTERO RESOURCES Corp,2014,Market Transition,74,86,62,77,61,0,-0.464285714,163,0.04,-0.049723109
ANTERO RESOURCES Corp,2014,Professional Skills Development,38,36,84,82,79,0,-0.464285714,118,0.05,-0.03599587
ANTERO RESOURCES Corp,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,117,100,116,96,0,-0.464285714,233,0.06,-0.071076591
ANTERO RESOURCES Corp,2014,Regulated Carbon Price,67,75,79,74,79,0,-0.464285714,149,0.07,-0.045452412
ANTERO RESOURCES Corp,2014,Wages and Benefits,42,49,96,84,100,0,-0.464285714,133,0.08,-0.040571616
ANTERO RESOURCES Corp,2014,Well-being and health,29,21,52,48,43,0,-0.464285714,69,0.09,-0.021048433
ANTERO RESOURCES Corp,2016,Associated Energy Costs,97,125,74,100,77,84,-0.19464211,309,0,-0.02611568
ANTERO RESOURCES Corp,2016,Dividend/reinvestment balance for long-term growth,30,19,54,31,66,0,-0.19464211,50,0.01,-0.004225838
ANTERO RESOURCES Corp,2016,GDP and Disposable Income,77,100,65,94,76,89,-0.19464211,283,0.02,-0.023918245
ANTERO RESOURCES Corp,2016,Innovation,85,121,66,91,80,81,-0.19464211,293,0.03,-0.024763412
ANTERO RESOURCES Corp,2016,Market Transition,72,94,58,76,70,80,-0.19464211,250,0.04,-0.021129191
ANTERO RESOURCES Corp,2016,Professional Skills Development,32,39,60,76,70,64,-0.19464211,179,0.05,-0.015128501
ANTERO RESOURCES Corp,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,129,100,125,100,100,-0.19464211,354,0.06,-0.029918935
ANTERO RESOURCES Corp,2016,Regulated Carbon Price,70,76,74,88,83,93,-0.19464211,257,0.07,-0.021720809
ANTERO RESOURCES Corp,2016,Wages and Benefits,41,62,77,107,87,100,-0.19464211,269,0.08,-0.02273501
ANTERO RESOURCES Corp,2016,Well-being and health,29,20,50,39,52,0,-0.19464211,59,0.09,-0.004986489
ANTERO RESOURCES Corp,2017,Associated Energy Costs,97,114,72,88,79,83,-0.521829522,285,0,-0.06651226
ANTERO RESOURCES Corp,2017,Dividend/reinvestment balance for long-term growth,31,20,58,30,74,0,-0.521829522,50,0.01,-0.011668818
ANTERO RESOURCES Corp,2017,GDP and Disposable Income,78,84,65,84,81,87,-0.521829522,255,0.02,-0.05951097
ANTERO RESOURCES Corp,2017,Innovation,87,121,66,95,76,81,-0.521829522,297,0.03,-0.069312776
ANTERO RESOURCES Corp,2017,Market Transition,74,85,58,71,74,80,-0.521829522,236,0.04,-0.055076819
ANTERO RESOURCES Corp,2017,Professional Skills Development,33,34,62,68,70,71,-0.521829522,173,0.05,-0.040374109
ANTERO RESOURCES Corp,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,131,100,116,100,107,-0.521829522,354,0.06,-0.082615228
ANTERO RESOURCES Corp,2017,Regulated Carbon Price,79,82,80,93,92,90,-0.521829522,265,0.07,-0.061844733
ANTERO RESOURCES Corp,2017,Wages and Benefits,42,56,85,101,87,109,-0.521829522,266,0.08,-0.06207811
ANTERO RESOURCES Corp,2017,Well-being and health,25,21,40,34,51,0,-0.521829522,55,0.09,-0.012835699
Callon Petroleum Co,2014,Associated Energy Costs,100,111,78,70,66,69,-0.107526882,250,0,-0.014959221
Callon Petroleum Co,2014,Dividend/reinvestment balance for long-term growth,32,18,68,42,77,0,-0.107526882,60,0.01,-0.003590213
Callon Petroleum Co,2014,GDP and Disposable Income,77,64,68,52,68,71,-0.107526882,187,0.02,-0.011189497
Callon Petroleum Co,2014,Innovation,85,80,71,61,65,66,-0.107526882,207,0.03,-0.012386235
Callon Petroleum Co,2014,Market Transition,74,93,62,57,61,63,-0.107526882,213,0.04,-0.012745256
Callon Petroleum Co,2014,Professional Skills Development,38,37,84,72,79,62,-0.107526882,171,0.05,-0.010232107
Callon Petroleum Co,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,134,100,98,96,81,-0.107526882,313,0.06,-0.018728945
Callon Petroleum Co,2014,Regulated Carbon Price,67,53,79,64,79,69,-0.107526882,186,0.07,-0.011129661
Callon Petroleum Co,2014,Wages and Benefits,42,34,96,67,100,72,-0.107526882,173,0.08,-0.010351781
Callon Petroleum Co,2014,Well-being and health,29,9,52,28,43,0,-0.107526882,37,0.09,-0.002213965
