company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score
ANTERO RESOURCES Corp,2013,Associated Energy Costs,100,115,79,102,72,0,-0.357086302,217
ANTERO RESOURCES Corp,2013,Dividend/reinvestment balance for long-term growth,36,16,75,30,78,0,-0.357086302,46
ANTERO RESOURCES Corp,2013,GDP and Disposable Income,75,79,66,79,73,0,-0.357086302,158
ANTERO RESOURCES Corp,2013,Innovation,83,99,69,89,68,0,-0.357086302,188
ANTERO RESOURCES Corp,2013,Market Transition,71,72,60,75,67,0,-0.357086302,147
ANTERO RESOURCES Corp,2013,Professional Skills Development,36,34,77,66,79,0,-0.357086302,100
ANTERO RESOURCES Corp,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,105,100,114,100,0,-0.357086302,219
ANTERO RESOURCES Corp,2013,Regulated Carbon Price,70,73,79,71,80,0,-0.357086302,144
ANTERO RESOURCES Corp,2013,Wages and Benefits,42,54,94,82,80,0,-0.357086302,136
ANTERO RESOURCES Corp,2013,Well-being and health,28,22,50,48,56,0,-0.357086302,70
ANTERO RESOURCES Corp,2014,Associated Energy Costs,100,120,78,102,66,0,-0.464285714,222
ANTERO RESOURCES Corp,2014,Dividend/reinvestment balance for long-term growth,32,20,68,37,77,0,-0.464285714,57
ANTERO RESOURCES Corp,2014,GDP and Disposable Income,77,91,68,88,68,0,-0.464285714,179
ANTERO RESOURCES Corp,2014,Innovation,85,111,71,88,65,0,-0.464285714,199
ANTERO RESOURCES Corp,2014,Market Transition,74,86,62,77,61,0,-0.464285714,163
ANTERO RESOURCES Corp,2014,Professional Skills Development,38,36,84,82,79,0,-0.464285714,118
ANTERO RESOURCES Corp,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,117,100,116,96,0,-0.464285714,233
ANTERO RESOURCES Corp,2014,Regulated Carbon Price,67,75,79,74,79,0,-0.464285714,149
ANTERO RESOURCES Corp,2014,Wages and Benefits,42,49,96,84,100,0,-0.464285714,133
ANTERO RESOURCES Corp,2014,Well-being and health,29,21,52,48,43,0,-0.464285714,69
ANTERO RESOURCES Corp,2015,Associated Energy Costs,100,122,75,100,75,81,0.098390805,303
ANTERO RESOURCES Corp,2015,Dividend/reinvestment balance for long-term growth,31,20,62,34,58,0,0.098390805,54
ANTERO RESOURCES Corp,2015,GDP and Disposable Income,75,94,65,90,72,86,0.098390805,270
ANTERO RESOURCES Corp,2015,Innovation,87,118,69,90,70,81,0.098390805,289
ANTERO RESOURCES Corp,2015,Market Transition,73,101,60,80,65,79,0.098390805,260
ANTERO RESOURCES Corp,2015,Professional Skills Development,33,36,66,80,87,66,0.098390805,182
ANTERO RESOURCES Corp,2015,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",96,119,100,118,100,100,0.098390805,337
ANTERO RESOURCES Corp,2015,Regulated Carbon Price,70,76,77,83,79,76,0.098390805,235
ANTERO RESOURCES Corp,2015,Wages and Benefits,40,58,88,94,93,87,0.098390805,239
ANTERO RESOURCES Corp,2015,Well-being and health,31,19,45,39,52,0,0.098390805,58
ANTERO RESOURCES Corp,2016,Associated Energy Costs,97,125,74,100,77,84,-0.19464211,309
ANTERO RESOURCES Corp,2016,Dividend/reinvestment balance for long-term growth,30,19,54,31,66,0,-0.19464211,50
ANTERO RESOURCES Corp,2016,GDP and Disposable Income,77,100,65,94,76,89,-0.19464211,283
ANTERO RESOURCES Corp,2016,Innovation,85,121,66,91,80,81,-0.19464211,293
ANTERO RESOURCES Corp,2016,Market Transition,72,94,58,76,70,80,-0.19464211,250
ANTERO RESOURCES Corp,2016,Professional Skills Development,32,39,60,76,70,64,-0.19464211,179
ANTERO RESOURCES Corp,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,129,100,125,100,100,-0.19464211,354
ANTERO RESOURCES Corp,2016,Regulated Carbon Price,70,76,74,88,83,93,-0.19464211,257
ANTERO RESOURCES Corp,2016,Wages and Benefits,41,62,77,107,87,100,-0.19464211,269
ANTERO RESOURCES Corp,2016,Well-being and health,29,20,50,39,52,0,-0.19464211,59
ANTERO RESOURCES Corp,2017,Associated Energy Costs,97,114,72,88,79,83,-0.521829522,285
ANTERO RESOURCES Corp,2017,Dividend/reinvestment balance for long-term growth,31,20,58,30,74,0,-0.521829522,50
ANTERO RESOURCES Corp,2017,GDP and Disposable Income,78,84,65,84,81,87,-0.521829522,255
ANTERO RESOURCES Corp,2017,Innovation,87,121,66,95,76,81,-0.521829522,297
ANTERO RESOURCES Corp,2017,Market Transition,74,85,58,71,74,80,-0.521829522,236
ANTERO RESOURCES Corp,2017,Professional Skills Development,33,34,62,68,70,71,-0.521829522,173
ANTERO RESOURCES Corp,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,131,100,116,100,107,-0.521829522,354
ANTERO RESOURCES Corp,2017,Regulated Carbon Price,79,82,80,93,92,90,-0.521829522,265
ANTERO RESOURCES Corp,2017,Wages and Benefits,42,56,85,101,87,109,-0.521829522,266
ANTERO RESOURCES Corp,2017,Well-being and health,25,21,40,34,51,0,-0.521829522,55
ANTERO RESOURCES Corp,2018,Associated Energy Costs,88,112,71,85,71,81,-0.686956522,278
ANTERO RESOURCES Corp,2018,GDP and Disposable Income,72,105,67,99,76,79,-0.686956522,283
ANTERO RESOURCES Corp,2018,Innovation,86,132,73,91,79,69,-0.686956522,292
ANTERO RESOURCES Corp,2018,Market Transition,66,94,58,75,62,69,-0.686956522,238
ANTERO RESOURCES Corp,2018,Professional Skills Development,33,34,64,70,84,0,-0.686956522,104
ANTERO RESOURCES Corp,2018,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,162,100,137,100,120,-0.686956522,419
ANTERO RESOURCES Corp,2018,Regulated Carbon Price,77,92,83,100,84,75,-0.686956522,267
ANTERO RESOURCES Corp,2018,Wages and Benefits,42,63,90,105,98,0,-0.686956522,168
ANTERO RESOURCES Corp,2018,Well-being and health,33,21,48,38,47,0,-0.686956522,59
ANTERO RESOURCES Corp,2019,Associated Energy Costs,93,112,66,74,44,48,0.934027778,234
ANTERO RESOURCES Corp,2019,Dividend/reinvestment balance for long-term growth,37,34,72,52,63,0,0.934027778,86
ANTERO RESOURCES Corp,2019,GDP and Disposable Income,78,111,62,94,47,56,0.934027778,261
ANTERO RESOURCES Corp,2019,Innovation,85,140,62,86,42,54,0.934027778,280
ANTERO RESOURCES Corp,2019,Market Transition,68,116,54,84,40,53,0.934027778,253
ANTERO RESOURCES Corp,2019,Professional Skills Development,35,36,59,61,44,44,0.934027778,141
ANTERO RESOURCES Corp,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,109,89,94,57,68,0.934027778,271
ANTERO RESOURCES Corp,2019,Regulated Carbon Price,78,106,73,90,49,52,0.934027778,248
ANTERO RESOURCES Corp,2019,Wages and Benefits,48,63,100,99,100,61,0.934027778,223
ANTERO RESOURCES Corp,2019,Well-being and health,40,40,50,50,32,24,0.934027778,114
ANTERO RESOURCES Corp,2020,Associated Energy Costs,94,114,75,83,70,75,2.111310592,272
ANTERO RESOURCES Corp,2020,Dividend/reinvestment balance for long-term growth,37,30,70,61,100,0,2.111310592,91
ANTERO RESOURCES Corp,2020,GDP and Disposable Income,79,98,67,82,73,77,2.111310592,257
ANTERO RESOURCES Corp,2020,Innovation,88,135,72,76,76,71,2.111310592,282
ANTERO RESOURCES Corp,2020,Market Transition,70,104,60,70,68,71,2.111310592,245
ANTERO RESOURCES Corp,2020,Professional Skills Development,34,29,68,55,73,62,2.111310592,146
ANTERO RESOURCES Corp,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,106,100,102,94,105,2.111310592,313
ANTERO RESOURCES Corp,2020,Regulated Carbon Price,81,86,80,109,78,92,2.111310592,287
ANTERO RESOURCES Corp,2020,Wages and Benefits,43,38,76,67,83,99,2.111310592,204
ANTERO RESOURCES Corp,2020,Well-being and health,37,41,55,58,55,49,2.111310592,148
ANTERO RESOURCES Corp,2021,Associated Energy Costs,92,112,75,81,77,75,0.728216965,268
ANTERO RESOURCES Corp,2021,Executive compensation,33,78,56,107,68,75,0.728216965,260
ANTERO RESOURCES Corp,2021,GDP and Disposable Income,76,98,64,79,77,75,0.728216965,252
ANTERO RESOURCES Corp,2021,Innovation,89,123,72,77,78,68,0.728216965,268
ANTERO RESOURCES Corp,2021,Market Transition,67,91,60,66,74,68,0.728216965,225
ANTERO RESOURCES Corp,2021,Professional Skills Development,38,29,71,52,83,57,0.728216965,138
ANTERO RESOURCES Corp,2021,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,100,100,92,100,107,0.728216965,299
ANTERO RESOURCES Corp,2021,Regulated Carbon Price,82,90,79,108,79,90,0.728216965,288
ANTERO RESOURCES Corp,2021,Wages and Benefits,41,39,73,63,79,107,0.728216965,209
ANTERO RESOURCES Corp,2021,Well-being and health,37,44,61,62,64,43,0.728216965,149
Callon Petroleum Co,2013,Associated Energy Costs,100,104,79,67,72,74,1.262162162,245
Callon Petroleum Co,2013,Dividend/reinvestment balance for long-term growth,36,15,75,38,78,0,1.262162162,53
Callon Petroleum Co,2013,GDP and Disposable Income,75,64,66,54,73,74,1.262162162,192
Callon Petroleum Co,2013,Innovation,83,77,69,60,68,71,1.262162162,208
Callon Petroleum Co,2013,Market Transition,71,87,60,58,67,70,1.262162162,215
Callon Petroleum Co,2013,Professional Skills Development,36,37,77,64,79,68,1.262162162,169
Callon Petroleum Co,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,119,100,93,100,80,1.262162162,292
Callon Petroleum Co,2013,Regulated Carbon Price,70,52,79,58,80,77,1.262162162,187
Callon Petroleum Co,2013,Wages and Benefits,42,32,94,63,80,65,1.262162162,160
Callon Petroleum Co,2013,Well-being and health,28,6,50,32,56,0,1.262162162,38
Callon Petroleum Co,2014,Associated Energy Costs,100,111,78,70,66,69,-0.107526882,250
Callon Petroleum Co,2014,Dividend/reinvestment balance for long-term growth,32,18,68,42,77,0,-0.107526882,60
Callon Petroleum Co,2014,GDP and Disposable Income,77,64,68,52,68,71,-0.107526882,187
Callon Petroleum Co,2014,Innovation,85,80,71,61,65,66,-0.107526882,207
Callon Petroleum Co,2014,Market Transition,74,93,62,57,61,63,-0.107526882,213
Callon Petroleum Co,2014,Professional Skills Development,38,37,84,72,79,62,-0.107526882,171
Callon Petroleum Co,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,134,100,98,96,81,-0.107526882,313
Callon Petroleum Co,2014,Regulated Carbon Price,67,53,79,64,79,69,-0.107526882,186
Callon Petroleum Co,2014,Wages and Benefits,42,34,96,67,100,72,-0.107526882,173
Callon Petroleum Co,2014,Well-being and health,29,9,52,28,43,0,-0.107526882,37
Callon Petroleum Co,2015,Associated Energy Costs,100,107,75,68,75,80,0.184738956,255
Callon Petroleum Co,2015,Dividend/reinvestment balance for long-term growth,31,25,62,50,58,0,0.184738956,75
Callon Petroleum Co,2015,GDP and Disposable Income,75,61,65,51,72,79,0.184738956,191
Callon Petroleum Co,2015,Innovation,87,73,69,59,70,75,0.184738956,207
Callon Petroleum Co,2015,Market Transition,73,91,60,55,65,68,0.184738956,214
Callon Petroleum Co,2015,Professional Skills Development,33,36,66,69,87,93,0.184738956,198
Callon Petroleum Co,2015,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",96,145,100,99,100,92,0.184738956,336
Callon Petroleum Co,2015,Regulated Carbon Price,70,61,77,57,79,76,0.184738956,194
Callon Petroleum Co,2015,Wages and Benefits,40,32,88,59,93,78,0.184738956,169
Callon Petroleum Co,2015,Well-being and health,31,9,45,25,52,0,0.184738956,34
Callon Petroleum Co,2016,Associated Energy Costs,97,108,74,70,77,77,0.48700565,255
Callon Petroleum Co,2016,Dividend/reinvestment balance for long-term growth,30,20,54,38,66,0,0.48700565,58
Callon Petroleum Co,2016,GDP and Disposable Income,77,68,65,53,76,77,0.48700565,198
Callon Petroleum Co,2016,Innovation,85,70,66,61,80,73,0.48700565,204
Callon Petroleum Co,2016,Market Transition,72,86,58,56,70,69,0.48700565,211
Callon Petroleum Co,2016,Professional Skills Development,32,36,60,64,70,74,0.48700565,174
Callon Petroleum Co,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,157,100,107,100,92,0.48700565,356
Callon Petroleum Co,2016,Regulated Carbon Price,70,56,74,55,83,78,0.48700565,189
Callon Petroleum Co,2016,Wages and Benefits,41,29,77,56,87,79,0.48700565,164
Callon Petroleum Co,2016,Well-being and health,29,10,50,23,52,0,0.48700565,33
Callon Petroleum Co,2017,Associated Energy Costs,97,108,72,68,79,72,0.006079027,248
Callon Petroleum Co,2017,Dividend/reinvestment balance for long-term growth,31,32,58,75,74,0,0.006079027,107
Callon Petroleum Co,2017,GDP and Disposable Income,78,66,65,57,81,65,0.006079027,188
