rank,symbol,company,market_cap,sector
1,NVDA,NVIDIA Corporation,$4.32 Trillion,Technology
2,AAPL,Apple Inc,$3.83 Trillion,Technology
3,GOOG,Alphabet Inc Class C,$3.28 Trillion,Communication Services
4,MSFT,Microsoft Corporation,$2.94 Trillion,Technology
5,AMZN,Amazon.com Inc,$1.95 Trillion,Consumer Cyclical
6,META,Meta Platforms Inc.,$1.40 Trillion,Communication Services
7,TSLA,Tesla Inc,$1.15 Trillion,Consumer Cyclical
8,LLY,Eli Lilly and Company,$925.28 Billion,Healthcare
9,JPM,JPMorgan Chase & Co,$831.70 Billion,Financial Services
10,XOM,Exxon Mobil Corp,$609.22 Billion,Energy
11,JNJ,Johnson & Johnson,$574.95 Billion,Healthcare
12,V,Visa Inc. Class A,$558.34 Billion,Financial Services
13,MA,Mastercard Inc,$464.56 Billion,Financial Services
14,MU,Micron Technology Inc,$444.23 Billion,Technology
15,COST,Costco Wholesale Corp,$434.25 Billion,Consumer Defensive
16,ABBV,AbbVie Inc,$388.97 Billion,Healthcare
17,BAC,Bank of America Corp,$383.70 Billion,Financial Services
18,HD,The Home Depot Inc,$343.72 Billion,Consumer Cyclical
19,GE,GE Aerospace,$341.03 Billion,Industrials
20,PG,Procter & Gamble Company,$338.50 Billion,Consumer Defensive
21,AMD,Advanced Micro Devices Inc,$329.28 Billion,Technology
22,CVX,Chevron Corp,$326.62 Billion,Energy
23,PLTR,Palantir Technologies Inc. Class A Common Stock,$324.25 Billion,Technology
24,NFLX,Netflix Inc,$324.19 Billion,Communication Services
25,KO,The Coca-Cola Company,$307.80 Billion,Consumer Defensive
26,CSCO,Cisco Systems Inc,$303.10 Billion,Technology
27,LRCX,Lam Research Corp,$287.98 Billion,Technology
28,PM,Philip Morris International Inc,$283.05 Billion,Consumer Defensive
29,WFC,Wells Fargo & Company,$273.69 Billion,Financial Services
30,AMAT,Applied Materials Inc,$269.77 Billion,Technology
31,CAT,Caterpillar Inc,$263.80 Billion,Industrials
32,ORCL,Oracle Corporation,$262.67 Billion,Technology
33,UNH,UnitedHealth Group Incorporated,$252.65 Billion,Healthcare
34,MRK,Merck & Company Inc,$242.01 Billion,Healthcare
35,IBM,International Business Machines,$240.88 Billion,Technology
36,GS,Goldman Sachs Group Inc,$239.10 Billion,Financial Services
37,RTX,Raytheon Technologies Corp,$232.24 Billion,Industrials
38,MCD,McDonald’s Corporation,$219.30 Billion,Consumer Cyclical
39,LIN,Linde plc Ordinary Shares,$210.18 Billion,Basic Materials
40,MS,Morgan Stanley,$207.18 Billion,Financial Services
41,C,Citigroup Inc,$202.99 Billion,Financial Services
42,PEP,PepsiCo Inc,$200.32 Billion,Consumer Defensive
43,ABT,Abbott Laboratories,$194.05 Billion,Healthcare
44,TMO,Thermo Fisher Scientific Inc,$188.02 Billion,Healthcare
45,DIS,Walt Disney Company,$187.96 Billion,Communication Services
46,AXP,American Express Company,$184.57 Billion,Financial Services
47,KLAC,KLA-Tencor Corporation,$184.36 Billion,Technology
48,GILD,Gilead Sciences Inc,$182.68 Billion,Healthcare
49,T,AT&T Inc,$179.15 Billion,Communication Services
50,AMGN,Amgen Inc,$177.76 Billion,Healthcare
51,BA,The Boeing Company,$177.73 Billion,Industrials
52,NEE,Nextera Energy Inc,$175.42 Billion,Utilities
53,GEV,GE Vernova LLC,$174.16 Billion,Utilities
54,TJX,The TJX Companies Inc,$173.90 Billion,Consumer Cyclical
55,ISRG,Intuitive Surgical Inc,$173.82 Billion,Healthcare
56,APH,Amphenol Corporation,$171.56 Billion,Technology
57,INTC,Intel Corporation,$171.29 Billion,Technology
58,CRM,Salesforce.com Inc,$168.01 Billion,Technology
59,VZ,Verizon Communications Inc,$164.48 Billion,Communication Services
60,DE,Deere & Company,$158.76 Billion,Industrials
61,ADI,Analog Devices Inc,$156.91 Billion,Technology
62,SCHW,Charles Schwab Corp,$155.63 Billion,Financial Services
63,LOW,Lowe's Companies Inc,$155.32 Billion,Consumer Cyclical
64,BLK,BlackRock Inc,$154.41 Billion,Financial Services
65,QCOM,Qualcomm Incorporated,$152.44 Billion,Technology
66,ANET,Arista Networks,$148.49 Billion,Technology
67,TXN,Texas Instruments Incorporated,$147.41 Billion,Technology
68,HON,Honeywell International Inc,$146.40 Billion,Industrials
69,UBER,Uber Technologies Inc,$145.77 Billion,Technology
70,PFE,Pfizer Inc,$144.87 Billion,Healthcare
71,WELL,Welltower Inc,$140.42 Billion,Real Estate
72,UNP,Union Pacific Corporation,$140.06 Billion,Industrials
73,ACN,Accenture plc,$135.05 Billion,Technology
74,AVGO,Broadcom Inc,$134.97 Billion,Technology
75,BKNG,Booking Holdings Inc,$133.08 Billion,Consumer Cyclical
76,ETN,Eaton Corporation PLC,$133.05 Billion,Industrials
77,DHR,Danaher Corporation,$129.80 Billion,Healthcare
78,SYK,Stryker Corporation,$127.47 Billion,Healthcare
79,PLD,Prologis Inc,$126.68 Billion,Real Estate
80,COF,Capital One Financial Corporation,$126.60 Billion,Financial Services
81,SPGI,S&P Global Inc,$124.00 Billion,Financial Services
82,PH,Parker-Hannifin Corporation,$123.55 Billion,Industrials
