unique_key,sector_id,year,company_name,top10_sector_exposure,degree_of_control_sector,degree_of_control_company,degree_of_control_sector_normalized,degree_of_control_company_normalized,top10_company_exposure,added_dt,added_by,modify_dt,modify_by
36111,1002,2012,African Rainbow Minerals,Well-being and health,74.07531808659273,NULL,78.37155306998822,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36112,1002,2012,African Rainbow Minerals,Associated Energy Costs,75.70540880367378,NULL,80.09618611163472,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36113,1002,2012,African Rainbow Minerals,Regulated Carbon Price,68.5191049669761,NULL,72.49308960037251,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36114,1002,2012,African Rainbow Minerals,Wages and Benefits,94.5181193748211,NULL,100,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36115,1002,2012,African Rainbow Minerals,Dividend/reinvestment balance for long-term growth,68.36264187821311,NULL,72.32755193436952,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36116,1002,2012,African Rainbow Minerals,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",44.799076576962655,NULL,47.39734230143473,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36117,1002,2012,African Rainbow Minerals,Innovation,65.43482130003471,NULL,69.22992303787422,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36118,1002,2012,African Rainbow Minerals,Market Transition,51.64568270431377,NULL,54.64103924826057,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36119,1002,2012,African Rainbow Minerals,GDP and Disposable Income,50.587841210017544,NULL,53.52184485326711,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36120,1002,2012,African Rainbow Minerals,Physical/water quality needs,45.456620763277506,NULL,48.09302286582186,NULL,NULL,2024-04-17 19:21:52.170,Mohan Hanumantha,2024-04-17 19:21:52.170,Mohan Hanumantha
36121,1002,2013,African Rainbow Minerals,Well-being and health,60.055359815812196,NULL,76.07528603192489,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36122,1002,2013,African Rainbow Minerals,Associated Energy Costs,78.94200988033097,NULL,100,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36123,1002,2013,African Rainbow Minerals,Regulated Carbon Price,76.91840918794213,NULL,97.43659846581505,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36124,1002,2013,African Rainbow Minerals,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",51.501099230271514,NULL,65.2391537893988,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36125,1002,2013,African Rainbow Minerals,Dividend/reinvestment balance for long-term growth,63.4539331827743,NULL,80.3804378416065,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36126,1002,2013,African Rainbow Minerals,Wages and Benefits,62.43335632029523,NULL,79.08761939927628,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36127,1002,2013,African Rainbow Minerals,Innovation,63.490904117971446,NULL,80.42727087164107,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36128,1002,2013,African Rainbow Minerals,GDP and Disposable Income,57.496454769993676,NULL,72.83378629091553,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36129,1002,2013,African Rainbow Minerals,Professional Skills Development,62.708964143787874,NULL,79.43674633930534,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36130,1002,2013,African Rainbow Minerals,Market Transition,52.99671099674316,NULL,67.13372395392699,NULL,NULL,2024-04-17 19:21:52.700,Mohan Hanumantha,2024-04-17 19:21:52.700,Mohan Hanumantha
36131,1002,2014,African Rainbow Minerals,Well-being and health,87.88955792357709,NULL,100,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36132,1002,2014,African Rainbow Minerals,Regulated Carbon Price,70.39004047965828,NULL,80.08919619423365,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36133,1002,2014,African Rainbow Minerals,Dividend/reinvestment balance for long-term growth,66.66501644857519,NULL,75.85089517294267,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36134,1002,2014,African Rainbow Minerals,Associated Energy Costs,69.20541391194908,NULL,78.74133804623924,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36135,1002,2014,African Rainbow Minerals,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",44.56262042483962,NULL,50.702974821637305,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36136,1002,2014,African Rainbow Minerals,Wages and Benefits,63.17714693564349,NULL,71.8824265683281,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36137,1002,2014,African Rainbow Minerals,Innovation,66.14839045913263,NULL,75.26308246612284,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36138,1002,2014,African Rainbow Minerals,Wildfire,26.4147250901842,NULL,30.05445210357377,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36139,1002,2014,African Rainbow Minerals,Market Transition,48.084953776231934,NULL,54.71065609186863,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36140,1002,2014,African Rainbow Minerals,GDP and Disposable Income,46.344625174984245,NULL,52.73052484264677,NULL,NULL,2024-04-17 19:21:53.177,Mohan Hanumantha,2024-04-17 19:21:53.177,Mohan Hanumantha
36141,1002,2015,African Rainbow Minerals,Well-being and health,65.78278254578319,93.25749076885828,78.7596641935745,111.65427141028526,Well-being and health,2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36142,1002,2015,African Rainbow Minerals,Regulated Carbon Price,83.52344213162604,20.388458433182024,100,24.41046239575651,Associated Energy Costs,2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36143,1002,2015,African Rainbow Minerals,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",55.88072034529082,36.769949039272014,66.90423540881783,44.02350777321367,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36144,1002,2015,African Rainbow Minerals,Associated Energy Costs,82.54355844865344,108.3186661724416,98.82681597170243,129.68654476876125,"Regulating Services (Water, Air, Waste)",2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36145,1002,2015,African Rainbow Minerals,Dividend/reinvestment balance for long-term growth,73.5833414505518,71.52866264465527,88.09902893440447,85.6390263848705,Physical/water quality needs,2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36146,1002,2015,African Rainbow Minerals,Wages and Benefits,63.804152398023874,70.42708283658826,76.39071231939148,84.32013939942871,Political Stability,2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
36147,1002,2015,African Rainbow Minerals,Innovation,74.25726914521934,57.35167314147394,88.90590144524458,68.66536109837577,Infrastructure (logistics/technology),2024-04-17 19:21:53.750,Mohan Hanumantha,2024-04-17 19:21:53.750,Mohan Hanumantha
